values,date
1,2022-01-01
2,2022-01-02
3,2022-01-03
4,2022-01-04
5,2022-01-05
6,2022-01-06
7,2022-01-07
8,2022-01-08
9,2022-01-09
10,2022-01-10
11,2022-01-11
12,2022-01-12
13,2022-01-13
14,2022-01-14
15,2022-01-15
16,2022-01-16
17,2022-01-17
18,2022-01-18
19,2022-01-19
20,2022-01-20
21,2022-01-21
22,2022-01-22
23,2022-01-23
24,2022-01-24
25,2022-01-25
26,2022-01-26
27,2022-01-27
28,2022-01-28
29,2022-01-29
30,2022-01-30
31,2022-01-31
32,2022-02-01
33,2022-02-02
34,2022-02-03
35,2022-02-04
36,2022-02-05
37,2022-02-06
38,2022-02-07
39,2022-02-08
40,2022-02-09
41,2022-02-10
42,2022-02-11
43,2022-02-12
44,2022-02-13
45,2022-02-14
46,2022-02-15
47,2022-02-16
48,2022-02-17
49,2022-02-18
50,2022-02-19
51,2022-02-20
52,2022-02-21
53,2022-02-22
54,2022-02-23
55,2022-02-24
56,2022-02-25
57,2022-02-26
58,2022-02-27
59,2022-02-28
60,2022-03-01
61,2022-03-02
62,2022-03-03
63,2022-03-04
64,2022-03-05
65,2022-03-06
66,2022-03-07
67,2022-03-08
68,2022-03-09
69,2022-03-10
70,2022-03-11
71,2022-03-12
72,2022-03-13
73,2022-03-14
74,2022-03-15
75,2022-03-16
76,2022-03-17
77,2022-03-18
78,2022-03-19
79,2022-03-20
80,2022-03-21
81,2022-03-22
82,2022-03-23
83,2022-03-24
84,2022-03-25
85,2022-03-26
86,2022-03-27
87,2022-03-28
88,2022-03-29
89,2022-03-30
90,2022-03-31
91,2022-04-01
92,2022-04-02
93,2022-04-03
94,2022-04-04
95,2022-04-05
96,2022-04-06
97,2022-04-07
98,2022-04-08
99,2022-04-09
100,2022-04-10
101,2022-04-11
102,2022-04-12
103,2022-04-13
104,2022-04-14
105,2022-04-15
106,2022-04-16
107,2022-04-17
108,2022-04-18
109,2022-04-19
110,2022-04-20
111,2022-04-21
112,2022-04-22
113,2022-04-23
114,2022-04-24
115,2022-04-25
116,2022-04-26
117,2022-04-27
118,2022-04-28
119,2022-04-29
120,2022-04-30
121,2022-05-01
122,2022-05-02
123,2022-05-03
124,2022-05-04
125,2022-05-05
126,2022-05-06
127,2022-05-07
128,2022-05-08
129,2022-05-09
130,2022-05-10
131,2022-05-11
132,2022-05-12
133,2022-05-13
134,2022-05-14
135,2022-05-15
136,2022-05-16
137,2022-05-17
138,2022-05-18
139,2022-05-19
140,2022-05-20
141,2022-05-21
142,2022-05-22
143,2022-05-23
144,2022-05-24
145,2022-05-25
146,2022-05-26
147,2022-05-27
148,2022-05-28
149,2022-05-29
150,2022-05-30
151,2022-05-31
152,2022-06-01
153,2022-06-02
154,2022-06-03
155,2022-06-04
156,2022-06-05
157,2022-06-06
158,2022-06-07
159,2022-06-08
160,2022-06-09
161,2022-06-10
162,2022-06-11
163,2022-06-12
164,2022-06-13
165,2022-06-14
166,2022-06-15
167,2022-06-16
168,2022-06-17
169,2022-06-18
170,2022-06-19
171,2022-06-20
172,2022-06-21
173,2022-06-22
174,2022-06-23
175,2022-06-24
176,2022-06-25
177,2022-06-26
178,2022-06-27
179,2022-06-28
180,2022-06-29
181,2022-06-30
182,2022-07-01
183,2022-07-02
184,2022-07-03
185,2022-07-04
186,2022-07-05
187,2022-07-06
188,2022-07-07
189,2022-07-08
190,2022-07-09
191,2022-07-10
192,2022-07-11
193,2022-07-12
194,2022-07-13
195,2022-07-14
196,2022-07-15
197,2022-07-16
198,2022-07-17
199,2022-07-18
200,2022-07-19
201,2022-07-20
202,2022-07-21
203,2022-07-22
204,2022-07-23
205,2022-07-24
206,2022-07-25
207,2022-07-26
208,2022-07-27
209,2022-07-28
210,2022-07-29
211,2022-07-30
212,2022-07-31
213,2022-08-01
214,2022-08-02
215,2022-08-03
216,2022-08-04
217,2022-08-05
218,2022-08-06
219,2022-08-07
220,2022-08-08
221,2022-08-09
222,2022-08-10
223,2022-08-11
224,2022-08-12
225,2022-08-13
226,2022-08-14
227,2022-08-15
228,2022-08-16
229,2022-08-17
230,2022-08-18
231,2022-08-19
232,2022-08-20
233,2022-08-21
234,2022-08-22
235,2022-08-23
236,2022-08-24
237,2022-08-25
238,2022-08-26
239,2022-08-27
240,2022-08-28
241,2022-08-29
242,2022-08-30
243,2022-08-31
244,2022-09-01
245,2022-09-02
246,2022-09-03
247,2022-09-04
248,2022-09-05
249,2022-09-06
250,2022-09-07
251,2022-09-08
252,2022-09-09
253,2022-09-10
254,2022-09-11
255,2022-09-12
256,2022-09-13
257,2022-09-14
258,2022-09-15
259,2022-09-16
260,2022-09-17
261,2022-09-18
262,2022-09-19
263,2022-09-20
264,2022-09-21
265,2022-09-22
266,2022-09-23
267,2022-09-24
268,2022-09-25
269,2022-09-26
270,2022-09-27
271,2022-09-28
272,2022-09-29
273,2022-09-30
274,2022-10-01
275,2022-10-02
276,2022-10-03
277,2022-10-04
278,2022-10-05
279,2022-10-06
280,2022-10-07
281,2022-10-08
282,2022-10-09
283,2022-10-10
284,2022-10-11
285,2022-10-12
286,2022-10-13
287,2022-10-14
288,2022-10-15
289,2022-10-16
290,2022-10-17
291,2022-10-18
292,2022-10-19
293,2022-10-20
294,2022-10-21
295,2022-10-22
296,2022-10-23
297,2022-10-24
298,2022-10-25
299,2022-10-26
300,2022-10-27
301,2022-10-28
302,2022-10-29
303,2022-10-30
304,2022-10-31
305,2022-11-01
306,2022-11-02
307,2022-11-03
308,2022-11-04
309,2022-11-05
310,2022-11-06
311,2022-11-07
312,2022-11-08
313,2022-11-09
314,2022-11-10
315,2022-11-11
316,2022-11-12
317,2022-11-13
318,2022-11-14
319,2022-11-15
320,2022-11-16
321,2022-11-17
322,2022-11-18
323,2022-11-19
324,2022-11-20
325,2022-11-21
326,2022-11-22
327,2022-11-23
328,2022-11-24
329,2022-11-25
330,2022-11-26
331,2022-11-27
332,2022-11-28
333,2022-11-29
334,2022-11-30
335,2022-12-01
336,2022-12-02
337,2022-12-03
338,2022-12-04
339,2022-12-05
340,2022-12-06
341,2022-12-07
342,2022-12-08
343,2022-12-09
344,2022-12-10
345,2022-12-11
346,2022-12-12
347,2022-12-13
348,2022-12-14
349,2022-12-15
350,2022-12-16
